tag1,tag2,value
sequía,fen,62
sequía,inundación,385
sequía,aguacero,178
sequía,fenómeno El Nino,2299
sequía,fenómeno de El Nino,1040
sequía,fenómeno nino,15
sequía,nino godzilla,315
sequía,fenómeno del Nino,1136
sequía,elnino,1742
sequía,fenómenonino,10
sequía,fenómenodelnino,638
sequía,fenómenodeelnino,87
sequía,fenómenoelnino,272
fen,inundación,107
fen,aguacero,0
fen,fenómeno El Nino,442
fen,fenómeno de El Nino,43
fen,fenómeno nino,0
fen,nino godzilla,0
fen,fenómeno del Nino,66
fen,elnino,288
fen,fenómenonino,0
fen,fenómenodelnino,19
fen,fenómenodeelnino,0
fen,fenómenoelnino,56
inundación,aguacero,27
inundación,fenómeno El Nino,71
inundación,fenómeno de El Nino,14
inundación,fenómeno nino,0
inundación,nino godzilla,0
inundación,fenómeno del Nino,39
inundación,elnino,145
inundación,fenómenonino,2
inundación,fenómenodelnino,10
inundación,fenómenodeelnino,0
inundación,fenómenoelnino,15
aguacero,fenómeno El Nino,1
aguacero,fenómeno de El Nino,17
aguacero,fenómeno nino,0
aguacero,nino godzilla,2
aguacero,fenómeno del Nino,29
aguacero,elnino,3
aguacero,fenómenonino,0
aguacero,fenómenodelnino,0
aguacero,fenómenodeelnino,0
aguacero,fenómenoelnino,0
fenómeno El Nino,fenómeno de El Nino,8
fenómeno El Nino,fenómeno nino,0
fenómeno El Nino,nino godzilla,7
fenómeno El Nino,fenómeno del Nino,6
fenómeno El Nino,elnino,55
fenómeno El Nino,fenómenonino,0
fenómeno El Nino,fenómenodelnino,10
fenómeno El Nino,fenómenodeelnino,0
fenómeno El Nino,fenómenoelnino,35
fenómeno de El Nino,fenómeno nino,2
fenómeno de El Nino,nino godzilla,43
fenómeno de El Nino,fenómeno del Nino,5
fenómeno de El Nino,elnino,66
fenómeno de El Nino,fenómenonino,0
fenómeno de El Nino,fenómenodelnino,7
fenómeno de El Nino,fenómenodeelnino,24
fenómeno de El Nino,fenómenoelnino,3
fenómeno nino,nino godzilla,4
fenómeno nino,fenómeno del Nino,1
fenómeno nino,elnino,1
fenómeno nino,fenómenonino,0
fenómeno nino,fenómenodelnino,0
fenómeno nino,fenómenodeelnino,0
fenómeno nino,fenómenoelnino,0
nino godzilla,fenómeno del Nino,95
nino godzilla,elnino,5
nino godzilla,fenómenonino,0
nino godzilla,fenómenodelnino,2
nino godzilla,fenómenodeelnino,0
nino godzilla,fenómenoelnino,0
fenómeno del Nino,elnino,20
fenómeno del Nino,fenómenonino,2
fenómeno del Nino,fenómenodelnino,52
fenómeno del Nino,fenómenodeelnino,0
fenómeno del Nino,fenómenoelnino,4
elnino,fenómenonino,0
elnino,fenómenodelnino,17
elnino,fenómenodeelnino,17
elnino,fenómenoelnino,20
fenómenonino,fenómenodelnino,0
fenómenonino,fenómenodeelnino,0
fenómenonino,fenómenoelnino,0
fenómenodelnino,fenómenodeelnino,0
fenómenodelnino,fenómenoelnino,0
fenómenodeelnino,fenómenoelnino,0
